Date,Value
1941-12-31,-0.1250591389
1941-09-30,0.0298846841
1941-06-30,0.003422425
1941-03-31,-0.064134828
1940-12-31,-0.0113841978
1940-09-30,0.0883728563
1940-06-30,-0.1762757688
1940-03-31,-0.015242279
1939-12-31,-0.0150780123
1939-09-30,0.1677256373
1939-06-30,-0.0091777913
1939-03-31,-0.1481002843
1938-12-31,0.094096854
1938-09-30,0.056543173
1938-06-30,0.353006569
1938-03-31,-0.1812163839
1937-12-31,-0.2181535874
1937-09-30,-0.0871131585
1937-06-30,-0.0916796309
1937-03-31,0.0361867704
1936-12-31,0.0719818854
1936-09-30,0.0642399645
1936-06-30,0.0086350262
1936-03-31,0.0847151877
1935-12-31,0.0925560946
1935-09-30,0.1159800355
1935-06-30,0.1726019244
1935-03-31,-0.0310457516
1934-12-31,0.123178236
1934-09-30,-0.0322816548
1934-06-30,-0.0601865488
1934-03-31,0.0195195195
1933-12-31,0.0535751951
1933-09-30,-0.0338292236
1933-06-30,0.7714801444
1933-03-31,-0.0755881862
1932-12-31,-0.1625209614
1932-09-30,0.6704014939
1932-06-30,-0.4153930131
1932-03-31,-0.0593068036
1931-12-31,-0.193665252
1931-09-30,-0.356705287
1931-06-30,-0.1286841495
1931-03-31,0.0472718435
1930-12-31,-0.1967789165
1930-09-30,-0.0947247504
1930-06-30,-0.2088780147
1930-03-31,0.1514005151
1929-12-31,-0.2765176882
1929-09-30,0.0289403517
1929-06-30,0.0807511737
1929-03-31,0.0295
1928-12-31,0.2529758176
1928-09-30,0.137164569
1928-06-30,-0.0131239747
1928-03-31,0.0541007905
1927-12-31,0.0243433372
1927-09-30,0.1886542742
1927-06-30,0.0384182909
1927-03-31,0.0183206107
1926-12-31,-0.006258297
1926-09-30,0.033651333
1926-06-30,0.0895628649
1926-03-31,-0.1034086557
1925-12-31,0.0920117106
1925-09-30,0.0950309137
1925-06-30,0.1221413276
1925-03-31,-0.0312007302
1924-12-31,0.1681853432
1924-09-30,0.0704576113
1924-06-30,0.0361251478
1924-03-31,-0.0262772194
1923-12-31,0.0868130618
1923-09-30,0.0004553216
1923-06-30,-0.1450121655
1923-03-31,0.0407171073
1922-12-31,0.0252336449
1922-09-30,0.0362638545
1922-06-30,0.0435710275
1922-03-31,0.098027127
1921-12-31,0.1409679235
1921-09-30,0.038422206
1921-06-30,-0.0964889124
1921-03-31,0.0529534399
1920-12-31,-0.132610006
1920-09-30,-0.0860511238
1920-06-30,-0.1172064974
1920-03-31,-0.0412198079
1919-12-31,-0.0376054568
1919-09-30,0.0415030847
1919-06-30,0.2040517727
1919-03-31,0.0809002433
1918-12-31,-0.0292867265
1918-09-30,0.0241896468
1918-06-30,0.0776850886
1918-03-31,0.0314600699
1917-12-31,-0.1125164062
